#Process ID, Arrival Time, Burst Time[, Completion Time, TurnAround Time, Waiting Time]
0,0,48,48,48,0
1,13,29,77,64,35
2,20,9,86,66,57
3,27,13,99,72,59
4,32,8,107,75,67
5,39,22,129,90,68
6,58,42,171,113,71
7,74,11,182,108,97
8,83,35,217,134,99
9,96,19,236,140,121
10,111,7,243,132,125
11,117,43,286,169,126
12,119,13,299,180,167
13,128,37,336,208,171
14,134,37,373,239,202
15,153,36,409,256,220
16,167,47,456,289,242
17,185,24,480,295,271
18,202,5,485,283,278
19,206,21,506,300,279
20,207,12,518,311,299
21,235,6,524,289,283
22,244,9,533,289,280
23,273,9,542,269,260
24,281,41,583,302,261
25,297,15,598,301,286
26,327,11,609,282,271
27,336,35,644,308,273
28,366,41,685,319,278
29,380,45,730,350,305
30,393,20,750,357,337
31,406,40,790,384,344
32,424,7,797,373,366
33,440,10,807,367,357
34,466,12,819,353,341
35,495,44,863,368,324
36,495,18,881,386,368
37,510,27,908,398,371
38,530,37,945,415,378
39,556,5,950,394,389
40,558,16,966,408,392
41,570,23,989,419,396
42,593,6,995,402,396
43,616,9,1004,388,379
44,635,6,1010,375,369
45,648,18,1028,380,362
46,663,23,1051,388,365
47,684,18,1069,385,367
48,712,37,1106,394,357
49,717,42,1148,431,389
#Algorithm used: FCFS
#Average Waiting Time: 257.96
#Average TurnAround Time: 280.92
