#Process ID, Arrival Time, Burst Time[, Completion Time, TurnAround Time, Waiting Time]
0,0,48,48,48,0
4,32,8,56,24,16
2,20,9,65,45,36
3,27,13,78,51,38
7,74,11,89,15,4
5,39,22,111,72,50
10,111,7,118,7,0
1,13,29,147,134,105
12,119,13,160,41,28
6,58,42,202,144,102
9,96,19,221,125,106
8,83,35,256,173,138
15,153,36,292,139,103
17,185,24,316,131,107
18,202,5,321,119,114
20,207,12,333,126,114
19,206,21,354,148,127
21,235,6,360,125,119
22,244,9,369,125,116
13,128,37,406,278,241
23,273,9,415,142,133
25,297,15,430,133,118
26,327,11,441,114,103
27,336,35,476,140,105
14,134,37,513,379,342
30,393,20,533,140,120
32,424,7,540,116,109
33,440,10,550,110,100
31,406,40,590,184,144
34,466,12,602,136,124
36,495,18,620,125,107
37,510,27,647,137,110
38,530,37,684,154,117
39,556,5,689,133,128
40,558,16,705,147,131
42,593,6,711,118,112
41,570,23,734,164,141
43,616,9,743,127,118
44,635,6,749,114,108
45,648,18,767,119,101
46,663,23,790,127,104
47,684,18,808,124,106
24,281,41,849,568,527
48,712,37,886,174,137
28,366,41,927,561,520
49,717,42,969,252,210
11,117,43,1012,895,852
35,495,44,1056,561,517
29,380,45,1101,721,676
16,167,47,1148,981,934
#Algorithm used: SJF+AGING
#Average Waiting Time: 176.36
#Average TurnAround Time: 199.32
