#Process ID, Arrival Time, Burst Time[, Completion Time, TurnAround Time, Waiting Time]
0,0,48,48,48,0
4,32,8,56,24,16
2,20,9,65,45,36
3,27,13,78,51,38
7,74,11,89,15,4
5,39,22,111,72,50
10,111,7,118,7,0
9,96,19,137,41,22
12,119,13,150,31,18
1,13,29,179,166,137
8,83,35,214,131,96
18,202,5,219,17,12
20,207,12,231,24,12
19,206,21,252,46,25
21,235,6,258,23,17
22,244,9,267,23,14
17,185,24,291,106,82
23,273,9,300,27,18
25,297,15,315,18,3
15,153,36,351,198,162
26,327,11,362,35,24
27,336,35,397,61,26
30,393,20,417,24,4
13,128,37,454,326,289
32,424,7,461,37,30
33,440,10,471,31,21
34,466,12,483,17,5
14,134,37,520,386,349
36,495,18,538,43,25
37,510,27,565,55,28
39,556,5,570,14,9
40,558,16,586,28,12
41,570,23,609,39,16
42,593,6,615,22,16
38,530,37,652,122,85
44,635,6,658,23,17
43,616,9,667,51,42
45,648,18,685,37,19
47,684,18,703,19,1
46,663,23,726,63,40
48,712,37,763,51,14
31,406,40,803,397,357
24,281,41,844,563,522
28,366,41,885,519,478
6,58,42,927,869,827
49,717,42,969,252,210
11,117,43,1012,895,852
35,495,44,1056,561,517
29,380,45,1101,721,676
16,167,47,1148,981,934
#Algorithm used: SJF
#Average Waiting Time: 144.14
#Average TurnAround Time: 167.1
